id,text,sentiment,,,
53408,"Demi NKRI Telkom Membangun Papua. 

",2,,,
53410,Bismillah headshott????,0,,,
53412,"Layanannya baik, ramah dan tidak judes apalagi sabar saat aku telepon ke nomor ini. Mereka sangat antusias melayani� ",2,,,
53413,Kita sebagai warga Papua bangga e Papua kami jadi spotlight??,2,,,
53414,Indah nya hidup sbg pengguna Indihom. ??????,2,,,
53415,"Semoga bisa berjodoh dengan @Telkom, dan menjadi bagian dari GPTP Xlll. Aminn",0,,,
53416,wow indihome idup,2,,,
53417,Terima kasih @IndiHome @IndiHomeCare pelaporan nmr IN92832432 telah direspon dan teratasi. Kalian luar biasa ????,2,,,
53418,"Vaksin bersama indihome.menuju Indonesia sehat #MajuTerusBersamaIndiHome
#InternetnyaIndonesia
#IndiHomeMbois ",2,,,
53419,"Selain suka berinovasi, @indihome juga sangat care???? ",2,,,
53422,@Telkomsel Sumpah demi Allah ini TELKOMSEL kenapa deh ya? Koneksi internetnya bikin semua kerjaan terhambat. Alhamd�,1,,,
53453,"Bantu Percepatan Mitigasi dan Pemulihan Infrastruktur Jaringan di NTT, Telkomsel Terjunkan Tim Siaga Bencana TERRA:� ",0,,,
53455,"Sebagai internetnya Indonesia, IndiHome meyakini bahwa dengan konektivitas yang merata dari Sabang sampai dengan Me� ",0,,,
53457,bismillah indihome bagus selalu ??,2,,,
53469,"PROGRAM SATELIT TELKOM di RECEIVER MATRIX LEMON III muncul dikit | karena tidak support cari buta

",0,,,
53470,"Dih sinyal telkomsel kalo lagi mati lampu kek lagi dijaman purba, malesin bgttt",1,,,
53471,"Nasib daerah pinggiran..
Batere cepet abisss..gegara nyari sinyal doang ?? inet lelet bikin mumet  gkgkgkgk
Pen pasa� ",1,,,
53472,@IndiHome @MediaKonsumenID @RadioElshinta @SonoraFM92 @kompascom @CNNIndonesia JING... LANGGANAN 20MBPS KAGA BISA N�,1,,,
53473,indihome lemot bner,1,,,
53474,"@IndiHome gak sekedar internetnya yg lemot kalo malam hari,. Cs nya juga lemot buat nangani keluhan.. bayar mahal c� ",1,,,
53475,"indihome bener"" giliran mau jatuh tempo desek"" giliran signal beuh dibutuhin susah bgt",1,,,
53476,kumat deh indihome,1,,,
53477,Indihome kenapa ya sinyalnya jelek mulu,1,,,
53478,jesus christ indihome connection makes me fckin livid,1,,,
53479,"Kenapa sih tsel berulah terus. Makin mahal makin nyusahin lu, jelek @telkomsel",1,,,
53480,Tengah malem telkomsel becandanya gak lucu banget sumpah ??,1,,,
53481,indihom ga jelas,1,,,
53482,Indihome ada masalah apa sih ??,1,,,
53483,indihome lemot bgtt ajgggg,1,,,
53484,Terserah lah anjing indihome bangsat,1,,,
53485,Gw denger denger FUP lu turunin jadi 150 Gb yak? @IndiHomeCare @IndiHome,0,,,
53486,Indihome ko jadi lemott bgt sih skrg?,1,,,
53489,"Spotify sama Indihome lagi marahan apa gimana ini, error mulu dah.",1,,,
53497,"@Telkomsel signal daritadi tida stabil kenapasi? lemot parah :""",1,,,
53498,Paket combo sakti fav gue dihapus tsel????,0,,,
53499,asu ya indihom ngentot bgt kudu ne deadline jam 10 jd jam semene mergo sinyal asu tenan gatel222,1,,,
53500,anjg indihome lemot sat.,1,,,
53501,"simpati sinyalnya busuk amat seharian. 

gc w sepi dan delay!!!",1,,,
53502,Wifi Indihome nge lag bgt ishh??,1,,,
53503,INDIHOME ANJING TAI,1,,,
53504,Please gua bayar mahal @IndiHome,1,,,
53505,@OIJAEMEIYA waitt indihome lagi ngambek,1,,,
53517,wtf indihome,1,,,
53518,indihOm suck,1,,,
53519,Jelek lu jelek banget serius @tsel,1,,,
53520,ini indihome nggak fren ma wattpad pa gmm dah,1,,,
53521,Si geblek nih jaringan lo jam segini @IndiHome,1,,,
53522,"indihome tlonk ?? ak tadi mnunggu foto jeno lola banget: KAK ADMIN INDIHOME, AK BERSEDI ????",1,,,
53523,indihome ner bener.,0,,,
53524,"daerah gresel iki telkom sakjane onk masalah opo, gondok opo piye kok sinyal moro gk stabil. Opo tower e onk sing n� ",1,,,
53525,Jaringan all telkom (tsel &amp; indihome) pas closing putus total. Karena konflik. Gini rasanya jadi orang daerah konflik.,1,,,
53531,"@IndiHome woy @AbdeeNegara, jaringan indihome lemot banget nih, mahal doang!",1,,,
53533,"BRENGSEK PANTESAN INDIHOM GUA LEMOT, taunya banyak temen adek gua maen ff bangsaaaaat",1,,,
53538,indihome sama spotify stop berantem please! kesian mahasiswi cuman bisa ngeloop satu lagu sepanjang hari!,1,,,
53539,indihome kenapa sie ??,1,,,
53540,indihome gabisa puter spotify:((,1,,,
53541,indihome kenapa si bikin emosi mulu..,1,,,
53542,@IndiHomeCare sudah 8 JAM MATI?? Kok belum bisa nyala juga? #indihome #internetshutdown #WorkFromHome #indihomecare #internetindonesia,1,,,
53543,adaa apaa dah dengan indihom sama spotify sumpah napaaa ini begini ( ???),1,,,
53544,ini indihome kenapa sih anjrit,1,,,
53545,indihome jancok,1,,,
53546,indihome gausa becanda dulu apa,1,,,
53547,indihome bangsat kau,1,,,
53548,"najiissssss najissss
busuk kek bangke sinyal lo ler
jadi bangke beneran aje dahh lu @Telkomsel",1,,,
53550,Indihome berulah lagi,1,,,
53551,Sedih jadi anak indihome,1,,,
53554,indihome lelet kali ah,1,,,
53555,indihome knp kalo malem suka btul brulah,1,,,
53560,indihome napa dah,1,,,
53563,@IndiHome ada gangguan massal kah ini @IndiHome di daerah saya?? Lg ujian ada aja cobaan nya,1,,,
53576,Indihome jelek banget,1,,,
53577,indihom jelek bgt kalo ujan asliiii,1,,,
53579,Indihome  yg jelek apa ig gw eror??,1,,,
53580,"TELKOM TAI SINYAL JELEK KALI GAPERNAH STABIL MAHALNYA DOANG, KECEWA MAHAL AJA KUALITAS AMPAS @Telkomsel BULLSHIT 08� ",1,,,
53581,Tsel sama indihome jelek banget dah sinyalnya malem ini.,1,,,
53582,"doyoung pk indihom kali y, mknya jaringannya jelek. canda indihom",1,,,
53583,indihome sinyalnya jelek bgt gue gabisa nonton jeno nih??????,1,,,
53584,"Biasa, indihome kalo lagi ujan jelek banget sinyalnya??",1,,,
53585,@IndiHome anjir jaringan jelek banget woi gua lagi nonton ????,1,,,
53586,Telkomsel bersahabat lah dengankuuu ya ampun,1,,,
53587,We tae tae primitif kali ba telkomsel malam ini??????,1,,,
53588,Jiakh... np lg ni indihome????,1,,,
53589,Kok lemot banget sie beberapa hari ini @IndiHome,1,,,
53590,"Indihome astaga, tak menyambung ??",1,,,
53591,pp @.indihome lemot amat ashue,1,,,
53592,@jartvis @IndiHome @IndiHomeCare Buka segala apk lemot banget keluar gambarnya??,1,,,
53593,@xiaojungw @IndiHome RT BERKALI-KALI ??,0,,,
53594,"Udah bagus bulan-bulan kemaren lancar, sekarang busuk lagi. Never change, IndiHome. Never change.",1,,,
53596,"Lama2 minta papah ganti ISP ajalah, Indihome punya negara bukannya tambah bagus malah tambah jelek",1,,,
53597,@IndiHome woy napa jelek banget si sinyal lu gedeg bener gw ama lu gakayak merk2 lain lu kalo bukan karena nama lu�,1,,,
53598,"walopun indihome rada jelek, tapi gapapa ?? SENENH BGT",1,,,
53599,indihome jelek bgttt kaksskskksks marah,1,,,
53600,indihom jelek lu,1,,,
53601,#deska telk*m lagi jelek banget sinyalnya kzllll,1,,,
53602,Indihom lagi jelek ya,1,,,
53603,"@IndiHome udah jelek bgt jaringannya, @triindonesia kenapa ikut-ikutan ??",1,,,
53604,Akhir2 ini sinyal indihome jelek hm,1,,,
53605,gara gara indihome kda gua jelek,1,,,
53606,"@IndiHome ngelag bgt mau main valorant, video call jg freeze mulu??",1,,,
53607,tolong @IndiHome kalo ngasi pelayanan lebih diperbagus lagi.. masa iya langganan 40 Mbps dikasinya segini doang.. r�,1,,,
53608,cacat @IndiHome,1,,,
53609,stress sm indihom,1,,,
53610,indihom asw??,1,,,
53611,ASAHII UPDATEE CUMAN GUE LAGI KESEL SAMA INDIHOME ARRGGH :'),1,,,
53612,indihome anjg??,1,,,
53613,"Aku sudah masang indihome dirumah mas,tolong jangan sering lemot ya mas soalnya saya suka pake nonton series selalu� ",1,,,
53614,Indihome lu lemot biar apa sih..,1,,,
53615,pusing bgt sma indihome foto prev fansign susah bgt keload ????????,1,,,
53616,indihome knyol,1,,,
53617,"Indihome bgst kli, gbisa aku mutar spotify",1,,,
53618,Indihome ada apa ya? Udah beberapa hari lemot bgt @IndiHome,1,,,
53619,PRESENTASI TERKACAU ANJIRRR BENCI BANGET SAMA INDIHOME SAMA ZOOM.,1,,,
53620,"Indihome kenapa lemot banget sihhh????????
MENGMARAH ????",1,,,
53621,Indihome makin ngelag semenjak Slengk Jadi Komis,1,,,
53622,indihome lemot bat asu,1,,,
53623,"@IndiHome siang, bisa tolong kirim teknisi krmh? Kyknya ada masalah sama kabel fibernya, karena pemotongan dahan po� ",0,,,
53624,indihome babik,1,,,
53625,Ini spotify sama indihome ada masalah apasii,1,,,
53626,@lejino_ @shualunaa @bervariasi @gumcherries @saythefame @choi_byu @anyeongunnie @jwonw88_ @luvlyshah @cheolryy @Himeko_Xu @dinonarapng @blvdmw @ambehsj @moonjunlights @jnootn0ot @17Bingbing @missin9yu @rnjsxxrose @Kayra9296 @kermitttfrog @authexia siappp??,0,,,
53627,demi Allah indihome ngajak ribut,1,,,
53628,"@myprecioushee iya ah udah bodo amat, ngomel aja sana?? cuma indihome dan tuhan yg tau aku streaming apa nggak",0,,,
53629,Ya Allah kenapasi indihome sinyalnya jele bgt akhir2 ini ??????,1,,,
53630,@IndiHome brand doang gede. kualitas mah payah,1,,,
53631,"Aku liat tweet orang pada ngelu ke @IndiHome ?? tapi iya lo jaringan nya nyebelin emang,kadang tiba tiba mati langsung, entar nyambung lagi tapi ajaib nya aku otak atik nyambung lagi wkwk yg tidak bisa ku otak atik kalo dari sana nya kabel nya lost punten jgn keseringan yak",1,,,
53634,Indihome kenapa sih seharian ini merajok teros keknya??,1,,,
53636,"DEMI ALLAH INDIHOME KENAPASI WOE DARI PAGI GA BISA BISA?

...kan sekarang gue jd terpaksa mencuri hotspot mama.. ????",1,,,
53637,ini indihome sma spotify lagi berantem apa gimana dah????,1,,,
53638,"indihome lu jan nyari gara� ya, gw lgi uas ni",1,,,
53639,Kenapaa yaaa spotify kalo pakr indihome lemot,1,,,
53640,indihome hsuuuuu,1,,,
53641,indihome let�s fight,1,,,
53642,Indihome kebiasaan anjing,1,,,
53643,"aku mau nangis... indihome mati pas lagi zoom PAS, kalo gapake zoom gaboleh ikut ulangan :((",1,,,
53645,indihom ngajak gelut bgt,1,,,
53646,@IndiHome lemot bgttttt !!!!,1,,,
53647,indihom ngentot,1,,,
53648,indihome kalian lemot ngak?,1,,,
53649,indihome knp kmu lemot,1,,,
53650,Indihome rusak,1,,,
53651,@indihome kmu tuh mengganggu aku yg sdang brduaan sm cwkku ??,1,,,
53653,indihome babi,1,,,
53654,"demi, indihom lu gue tandain",1,,,
53655,INDIHOM AJG NGELAGNYA PAS DIA WINK WONK NAZE,1,,,
53656,Indihome ada masala apa si sama https://t.co/NhttqJQ03M :(,1,,,
53667,indihom soak bgt anjgggg,1,,,
53668,@IndiHome ko lemot yaaa??,1,,,
53669,@IndiHome makin kemari jaringannya makin kek tai. Setiap abis perpanjangan koneksinya down mulu. Mending kalo down�,1,,,
53670,jelek@banget indihome fu ek,1,,,
53671,indihome kgk nyambung nyambung anjirr,1,,,
53672,"ahhh indihome berulah lagi????
mahal doang lemot terus",1,,,
53673,INDIHOME SUCKS ????????????,1,,,
53674,FUCK SPOTIFY IS DOWN FOR ME I HATE YOU @INDIHOME,1,,,
53675,AAAA indihome spotify udau baikan ????,2,,,
53676,yaallah indihome gini amatsi pelayanannya,1,,,
53677,indihome lg lemot bgt kenapa sih setiap buka twitter kan gue dah panik kirain ke susi lagi,1,,,
53678,@/indihome lo gajelas bgt si ngen,1,,,
53679,yeu masi pagi ada aja tingkahnya ni indihome sinting,1,,,
53680,indihome kenapa sii aela gue jadi gabisa join zoom loh ini,1,,,
53681,bener bener indihome ??,1,,,
53683,"Maap ye cuma gue like, adoiiiiii ini telkom lgie ngjk gelooddd",1,,,
53685,sumpah kesel bgt ama indihom,1,,,
53686,Bt kali indihome lelet ajg,1,,,
53688,apaan dah indihome lemot bgt,1,,,
53689,Waw indihome lo gue pukul ya,1,,,
53690,indihome kumat rewele,1,,,
53691,indihom kntl,1,,,
53692,Indihome ada masalah apa lagi ya Allah ??,1,,,
53693,"WHY IDK THIS... 

BAD INTERNET! 
TSEL kurang ajar! ???????? ",1,,,
53694,"WHATTTT!!!! BAEJJAES LIVE IG?!! AND IDK!!!!! 

F U TELKOMSEL!!!!!",1,,,
53695,KONTOLLLLLLLLLLLLLLLLLL @INDIHOME,1,,,
53697,demi gue kesel bgt ama indihome,1,,,
53698,indihome kita musuhan oke,1,,,
53701,memulai conversation sama si bisa indihom ngeri jg,1,,,
53702,telkomsel kuliat liat makin mahal aja ya kauuuuuuuu!!!!!!,1,,,
53703,Ada apa ini dg signal telkomsel????,1,,,
53704,Ayolah @IndiHome ini udah dari malem ketemu malem belom nyala nyala juga ?????????,1,,,
53705,indihome fl0p bgt demi,1,,,
53707,Indihome gangguan mulu dah @IndiHome,1,,,
53708,Tolong dong sinyal lo udah mati 4 jam @IndiHome,1,,,
53709,@IndiHome mana janjimu?? Sdh komplain ke 147 tgl 29/4 malam katanya siang ini 30/4 akan ada teknisi yg cek. Nyatany�,1,,,
53710,@TelkomSolution Jaringan indihome saya kok selalu jumping ya huhu,1,,,
53711,Indihome ada masalah apa si kenapa spotify gw offline mulu dah,1,,,
53712,cape sm indihom,1,,,
53714,"PPP INDIHOM KOK JLEK BGT YYY JRINGANNYA, AK MW BCA AU TAU!!! ??????????????????????????",1,,,
53715,"ner bener muter muter doang, knock knock knock @IndiHome",1,,,
53716,kata gue lu pada yang pake indihom gamau ganti ape,1,,,
53717,jaringanmu @IndiHome masa separah itu sih sampe buka Spotify aja gabisa-bisa :),1,,,
53718,gue mau belajar tp indihome lemot...,1,,,
53719,indihome basap memang.,1,,,
53720,@gilgemeshhh kantor indihome kbakaran amin /j,1,,,
53721,"@Telkomsel kalo orang complain tuh di respon, jgn diem doang lu. Gara gara lu nih gue gabisa nonton mpl. Niat ngelayanin customer gak?",1,,,
53722,Sial @simPATI di daerah gua skarang bobrok bangat.. paket datanya doang mahal.. terpaksa gua beralih ke�,1,,,
53724,"@IndiHome kalo udah fup serasa balik lagi ke jaringan 3g, packet loss ga karuan
fix your goddamn service bro",1,,,
53725,Muuuuukkkkk remuk @IndiHome @IndiHomeCare,1,,,
53726,Tolonglah Ni UseeTV error mulu astagfirullah @IndiHomeCare  @IndiHome,1,,,
53727,INDIHOME BGST BGT DEMI ALLAH LAGI MAIN KAHOOT ANJRITTT HAMPIR DAPET 300RB GUEEEE,1,,,
53729,Indihome lemot,1,,,
53730,Indihome kok lemot sie,1,,,
53731,indihom ada masalah apa si sama gua,1,,,
53732,@IndiHome ni sy mau nonton netflix di tv tp gk bisa. plis deh,1,,,
53733,"hi indihome, kamu kenapa lagi sayangg @IndiHome",1,,,
53735,bangsat dah indihom dri saur ga bener bener stress ya,1,,,
53736,@IndiHome kenapa dari kemaren koneksimu busuk sekali. Gimana mau jadi atlit e-sport ini kalo gini caranya...,1,,,
53737,Indihome rumah gw makin lemottt,1,,,
53738,hey @IndiHome jaringan anda,1,,,
53739,"ih so yo ndadi ga sih indihome, marbud bgt ik??",1,,,
53740,indihome menurut aku km jgn ikutan menguji puasa ku deh,1,,,
53741,@IndiHomeCare beberapa hari ini di Samarinda sinyal IndiHome bikin batal puasa deh ?? kerjaan ketunda gegara sinyal�,1,,,
53742,indihome lemot banget knp ya sat,1,,,
53743,Indihome kelen lemot g??,1,,,
53744,@IndiHome lelet banget jaringanmu sumpah,1,,,
53745,indihome lemot parah njir,1,,,
53746,Gua bakal jadi ceo telkom ajg gua liatin kerja indie home gimane terus gua bakal improv parah ajg kualitas internet nye bangsat,1,,,
53748,Telkom adalah perusahaan teknologi ICT yg menggurita tapi gagal develop konten. orang2 nya malas mikir cuman banyak�,1,,,
53749,yah anjir indihome user doang yang ngedown??,1,,,
53752,"indihome napasi, gua pgn nntn tiktok kampret",1,,,
53754,indihome gila,1,,,
53756,ini semua salah indihome,1,,,
53759,"Sedih banget lagi comeback, belum sempet liat mv malah, indihome nya ngadat mulu ?? #.",1,,,
53761,Indihome anji,1,,,
53762,@IndiHome wifi gue ko mati terus sih ah,1,,,
53763,ANJ INDIHOME* LAG BAT,1,,,
53764,"Indihome berulah lagi kau ya.
Gua lagi puasa jangan di bikin emosi ah elah",1,,,
53765,@IndiHomeCare Loe admin dulunya di sekolah diajar buat membaca gak sih? Kok gak nyambung ya? Dibaca lagi dari awal twit pertanyaannya apa.. jangan cuma baca twit yg terakhir doang! Gak malu apa ya sekelas Indihome tapi kualitas adminnya bokbrok ky gini ??,1,,,
53767,lemot bgt ga si indihome,1,,,
53772,"malam2 di telpon mas-mas indihome, mana suaranya enak di denger lg??",2,,,
53779,Kemusuhan indihom lagi ????,1,,,
53780,"@IndiHome @IndiHomeCare hi, please kindly check DMs, thank you!",0,,,
53781,"tlkm latensi jaringannya lagi jelek banget buat nonton vlive buffering mulu, pake vpn kantor lancar ??",1,,,
53782,"Hay @Telkomsel. Jaringan seluler di kecamatan saya, tidak stabil. Lima menit aktif, lima menit mati. 
Kita kesulita� ",1,,,
53783,@IndiHome masih ada apa ngga ya?,0,,,
53784,gara gara indihome error maen valorant jadi afk kalah + gaboleh maen 30 menit kan kont,1,,,
53785,udah gila indihome,1,,,
53786,Bangsat lah @IndiHome,1,,,
53787,"Indihome, bikin elus dada aje puasa-puasa.",1,,,
53788,indihome lw kgk jls,1,,,
53796,spotify sama indihome lagi musuhan apa gimana dah anjrit,1,,,
53800,indihom kalian eror g?,1,,,
53801,"@IndiHomeCare 
TOLONG DONG INI INDIHOME LAYANAN BAGAIMANA C ???BAYAR GA BOLE TELAT TP INTERNET BERMASALAH TERUS BOL� ",1,,,
53803,what's wrong with @IndiHome and @Spotify ???,1,,,
53804,orang2 protes indihomenya gabisa buat spotify tapi indihome gue malah gabisa connect ke hp sama sekali tiba2.... hadeh,1,,,
53805,@telkomsel. kok gak nanggapin masukan sy? msh banyak sms liar ke jp sy..#telkomseljualdatakonsumen,1,,,
53806,indihome ngapa lemot bat dah akhiran inii? mana kadang putus sinyal sendiri,1,,,
53807,demi Allah indihome ad mslh apa sieh???,1,,,
53808,life would be easier if your wifi isn't indihome.,1,,,
53812,@TelkomZA honestly I hate telkom,1,,,
53815,NJER AFK MULU INDIHOME LEMOT BGT NANGISSSSSS,1,,,
53816,Tolong bgt @IndiHome aku lagi ada hajat nge hype comeback anak anakku ini kenapa lemot bgt dari tadi jaringan nya?? aku nangis nih!!,1,,,
53849,"tuhan yesus,tolongggggggggggg @IndiHome @IndiHomeCare ",0,,,
53850,@IndiHome SAMPAI KAPAN NIH GAES?,0,,,
53851,Indihome ini ada masalah apa,1,,,
53854,Bgst indihome jgn ngelunjak deh lu ye pagi pagi,1,,,
53855,Ngaco parah @IndiHome lagi pelatihan nih woe,1,,,
53856,indihome meresahkan bgt yaAllah..,1,,,
53857,INDIHOME APAA SIH ANJING PAGI2 BEGINI BANGSAT @IndiHome,1,,,
53858,anjir plis gua lagi jum tapi indihom kek tai sinyalnya,1,,,
53861,indihom kontttttttttttttttttt,1,,,
53862,anjir indihom,1,,,
53864,parah banget indihome lemotnya,1,,,
53865,buset dah masih pagi udah error aja mas @IndiHome,1,,,
53866,"@IndiHomeCare WIFI Mati dari semalem. tulisan bagian LOS nyala kedap kedip merah. Udah coba di restart, dinyalain u� ",1,,,
53868,"Ini ngapa daaah @IndiHome , tiap buka netflix sama  ig, atau wa story, loading nyaaaa, kaya nunggu di vaksin ?? kala� ",1,,,
53869,@IndiHomeCare 122853212241/Ricky/ Indihome nya mati terus,1,,,
53870,@IndiHomeCare 122853212241/Ricky/ Indihome nya dari kemarin WiFi mati,1,,,
53871,pagi2 telponan nya sma indihom bknya sm km hehehehe,0,,,
53873,Tolong banget ini kenapa internet matiii @IndiHome masa gara2 badai sik ??,1,,,
53877,@IndiHome ini wifi dari semalem kenapa gabisa? mau kuliah sekolah jadi susah,1,,,
53878,Kacau banget indihome dari semalem yee??,1,,,
53879,@IndiHome  kenapa sih intnya kok makin hari makin parah ya?,1,,,
53880,@IndiHome woy orang se indonesia bayat internet mahal2 rto mulu anjg tiap 1 jam...buat game gabisa buat nnton gabis�,1,,,
53881,"sinyal jemb00d 
@IndiHome ",1,,,
53882,masyaallah harus banyak banyak sabar kalo sama indihome. yakan min? @IndiHome,1,,,
53883,jelek banget lo indihome,1,,,
53884,2021 indihome masi aje jaringannya lemot gajelas tbtb @IndiHome,1,,,
53885,@IndiHome direset malah makin lemot gege jg kalian ini,1,,,
53886,@IndiHome lu kenapa si ajg.,1,,,
53887,Pake paketan dah pen denger fake protagonis bye indihom,1,,,
53888,"Wah geblek sih tadi mati sebentar tapi lagi krusial banget @IndiHome. Besok besok jualan cireng aja bro, ga cocok jadi internet provider.",1,,,
53889,"@IndiHome malem malem ping gak jelas 160-386
ada apa ya?",1,,,
53890,indihom babi makin sering rusak anjrit,1,,,
53891,ini indihome drtd ngelag bgt anjir dah,1,,,
53892,"@byu_id @Telkomsel sinyal hilang lagiiiiiiii, lagi2 thesis terhambat akibat anda :)",1,,,
53893,@IndiHome haduu haduu kenapa lagi ya ini kak????,1,,,
53894,indihom elu babi bgt malem malem,1,,,
53896,pls indihome lo gausah betingkah,1,,,
53897,Indihom ngambek.,1,,,
53898,"Buat pubg, ml aja pingnya 100ms+. Gimans? @Telkomsel",0,,,
53899,indihom tiap malem bikin candi kyaknya,0,,,
53900,@IndiHome hai internetnya mati nih,1,,,
53901,Indihome tu seperti keluarga. Tapi yg kerjaannya bikin mbatin tiap hari. Mohon itikad baiknya berbenah diri @IndiHome,1,,,
53902,indihome internetnya mati ga sih,1,,,
53903,indihome makin lama makin ngejadi,1,,,
53904,&amp;&amp;. Kenapa sih byu ngajak ribut mulu jam segini?,1,,,
53905,@IndiHome ga ada koneksiiiii,1,,,
53907,"@IndiHome jam Segini bisa2 nya Ngelucu.

Kami Lagi Nonton Drakor ini.
Bisa2 nya internet dimatikan.
Sungguh kejam",1,,,
53908,"@IndiHome Tolong diperbaiki internet di rumah Kami.

Kami Lagi Nonton Drakor ini.
Bisa2 nya internet dimatikan.
Sungguh kejam
Aduuuuhhhh",1,,,
53914,@IndiHome ada apa nih kawan? Jaringan putus2 terus,1,,,
53916,lu ngpain dah tiap malem @IndiHome,1,,,
53917,@Telkom tau kontol ga lo?,1,,,
53937,Indihome ngepet.,1,,,
53938,INDIHOM RUMAH GUA KOK NGE DOWN YA ANJENG?,1,,,
53939,"@IndiHome goblok, koneksi ilang 15 menit ngapain?",1,,,
53940,Indihome kenape ga jalan nih? @Raflimuhmmd @IndiHome,1,,,
53941,"indihome,telkomsel kenapanih?",1,,,
53942,"astaghfirullah indihome,,,,,, kau???? hancurkan?????? aku??? dengan?? sikapmu?? tak? sadarkah?? kau???? telah?? menyakitiku?? le� ",1,,,
53944,"keren indihome kalo udah ujan begini, wa aja bisa pending",1,,,
53945,Yailah tengah malem ngelucu aja nih si anjg @IndiHome.,1,,,
53946,kebiasaan kalo tengah malem suka gangguan. aku tu lagi nugas tau ga @IndiHome,1,,,
53947,"indihome� gelud yu LG NAIK DARAH NIH GW YU YU YUUUUUU
AKHHHH",1,,,
53948,buset indihome jelek banget,1,,,
53949,"lu ngape ngab, tengah malem gini tiba� no internet? @IndiHome ",1,,,
53950,"Wes tanggal tuwek,
Indihome yo melu ngehek 
Njingg!",1,,,
53962,"ninu ninu ninuuuuu, indihome kenape neh ah tanda seruw",1,,,
53964,Indihome knpa si anjj bgst lg ngerjain quiz dahlah auto jelek nilai ??,1,,,
53965,ini indihome kalo manusia gue jambak asli,1,,,
53967,TLKM ADA MSLH APA. jeleknya sinyal ????????,1,,,
53968,Indihome kurang ajar,1,,,
53970,indihome ad msl apsii ???,1,,,
53971,kalo indihome org mungkin skrg dia udh babak belur gw gebukin,1,,,
53972,Sagang nih pke indihome ya dritadi live nya kejeda2 mulu,1,,,
53973,@IndiHome seriusan ini speed ampe begini amat min? ??,1,,,
53974,"Sumpah ini indihome kenapa si? Keknya jaringannya jelek bgt :"" mahal doang tp jaringan jelek",1,,,
